movie_id,title,release_year,imdb_rating,languages,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt2168910,Cocktail,2012.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt29429860,Son of Sardaar 2,2025.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt15464188,Ikkis,2026.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tt3735246,Bajirao Mastani,2015.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt30818815,Mastiii 4,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt21818782,Tehran,2025.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0374660,Footpath,2003.0,,Hindi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6527426,Zero,2018.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt3495000,Mardaani,2014.0,,Hindi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt4535650,Dilwale,2015.0,,Hindi,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8108202,Stree,2018.0,,Hindi,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt13451410,Dhadak 2,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt21194868,Dhoom Dhaam,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2203308,Aashiqui 2,2013.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt15416342,The Bengal Files,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
tt4007558,Shaandaar,2015.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1029231,Krrish 3,2013.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt5956100,Tiger Zinda Hai,2017.0,,Hindi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt35146696,Tu Meri Main Tera Main Tera Tu Meri,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt35727678,Ek Deewane Ki Deewaniyat,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt3823392,Love Sonia,2018.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0461936,Don,2006.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt12393526,Bulbbul,2020.0,,Hindi,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
tt11163028,House Arrest,2019.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt28297544,Rapture,2024.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt20754156,Tumse Na Ho Payega,2023.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1144804,Kambakkht Ishq,2009.0,,Hindi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt1729637,Bodyguard,2011.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt2571140,Boss,2013.0,,Hindi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt27826850,Single Salma,2025.0,,Hindi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2178470,Yeh Jawaani Hai Deewani,2013.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt4832640,Sultan,2016.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt28089700,Raid 2,2025.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt15501640,Drishyam 2,2022.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt11027830,Haseen Dillruba,2021.0,,Hindi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
tt1396208,Action Replayy,2010.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
tt30496762,Maa,2025.0,,Hindi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1285241,Don 2,2011.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt7212726,Simmba,2018.0,,Hindi,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0346457,Mangal Pandey - The Rising,2005.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt23220552,Badass Ravi Kumar,2025.0,,Hindi,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt10230404,Ghost Stories,2020.0,,Hindi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt30422937,Nadaaniyan,2025.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt5690142,Mom,2017.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt4501268,Maharaj,2024.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt4110568,Dil Dhadakne Do,2015.0,,Hindi,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt8907974,Looop Lapeta,2022.0,,Hindi,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1833673,Dhoom 3,2013.0,,Hindi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1948150,Singham,2011.0,,Hindi,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1166100,Ghajini,2008.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt0211934,Baadshah,1999.0,,Hindi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt6531196,Ascharya Fuck It,2018.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0886539,Luck by Chance,2009.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt27056066,Sky Force,2025.0,,Hindi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
tt5301942,Jersey,2022.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt5970844,Thugs of Hindostan,2018.0,,Hindi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2392447,Ungli,2014.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt27028399,Murder Mubarak,2024.0,,Hindi,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt15128068,"Monica, O My Darling",2022.0,,Hindi,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt5946128,Dear Zindagi,2016.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt18072316,Bade Miyan Chote Miyan,2024.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt27510174,Stree 2,2024.0,,Hindi,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0439662,Fanaa,2006.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt9648672,Street Dancer 3D,2020.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt26733317,Jigra,2024.0,,Hindi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt0488798,Welcome,2007.0,,Hindi,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt15437986,The Shameless,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt15433600,Khufiya,2023.0,,Hindi,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt5256640,Lenin,2026.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt23865918,Peddi,2026.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt8178634,RRR,2022.0,,Telugu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt39108319,Irumudi,2026.0,,Telugu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt36451817,Raakaasa,2026.0,,Telugu,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt32237111,Maa Inti Bangaram,2026.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt32831759,Laila,2025.0,,Telugu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt37893389,Bāhubali: The Epic,2025.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt11821912,Devara: Part 1,2024.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt30413898,Dacoit,2026.0,,Telugu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt4849438,Bāhubali 2: The Conclusion,2017.0,,Telugu,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tt37161651,Chennai Love Story,2026.0,,Telugu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt23790696,The Rajasaab,2026.0,,Telugu,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tt12735488,Kalki 2898-AD,2024.0,,Telugu,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
tt16539454,Pushpa 2 - The Rule,2024.0,,Telugu,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt27540542,Lucky Baskhar,2024.0,,Telugu,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt13927994,Salaar: Part 1 - Ceasefire,2023.0,,Telugu,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt9389998,Pushpa: The Rise,2021.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt34545743,Godari Gattupaina,2026.0,,Telugu,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt37895011,Rao Bahadur,2026.0,,Telugu,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
tt31852038,Cheekatilo,2026.0,,Telugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt23804696,HIT: The Third Case,2025.0,,Telugu,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt13528564,Ante... Sundaraniki!,2022.0,,Telugu,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
tt14338246,Ustaad Bhagat Singh,2026.0,,Telugu,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2691804,Hari Hara Veera Mallu: Part 1 – Sword vs Spirit,2025.0,,Telugu,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt11773426,Kingdom,2025.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt33143854,Couple Friendly,2026.0,,Telugu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt20850406,Sita Ramam,2022.0,,Telugu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt15387182,Akhanda 2: Thaandavam,2025.0,,Telugu,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
